wallet_label,address,blockchain,coin,protocol,price,amount,usd_value,token_name,is_verified,logo_url
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,BASE,ETH,Wallet,"$2,429.15",0.000000,$0.00,ETH,True,https://static.debank.com/image/coin/logo_url/eth/6443cdccced33e204d90cb723c632917.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,wS,Wallet,$0.30,0.486446,$0.15,Wrapped Sonic,True,https://static.debank.com/image/sonic_token/logo_url/0x039e2fb66102314ce7b64ce5ce3e5183bc94ad38/c4faf4a1f3192ee5dc3184879182d7e3.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,SHADOW,Wallet,$21.51,0.000293,$0.01,Shadow,True,https://static.debank.com/image/sonic_token/logo_url/0x3333b97138d4b086720b5ae8a7844b1345a33333/72eb44fe5e33b375362d5256423b5293.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,xSHADOW,Wallet,$21.74,0.004582,$0.10,xShadow,True,https://static.debank.com/image/sonic_token/logo_url/0x5050bc082ff4a74fb6b0b04385defddb114b2424/002d21b0496b2364071c75c3028b5183.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,GEMS,Wallet,$20.33,0.000806,$0.02,Shadow Wrapped Gems,True,https://static.debank.com/image/sonic_token/logo_url/0x5555b2733602ded58d47b8d3d989e631cbee5555/e6b58dd1e32c3201822ace8e1fba8758.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,RUGGIE,Wallet,$0.00,31.794226,$0.00,Ruggie's Pizza,True,https://static.debank.com/image/sonic_token/logo_url/0xb2a909b8bcce9b30bbc9d4c748fd897d6ad9c285/084f3f6c69be11204f5192c4374a6891.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,ROME,Wallet,$0.23,0.010713,$0.00,Rome,True,https://static.debank.com/image/sonic_token/logo_url/0xc8449e006c5cb61959168f273c3e17fb8d2cd75e/83611c1cc22e2b4188d5e3073d1b9fe4.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,S,Wallet,$0.30,6.379014,$1.94,S,True,https://static.debank.com/image/sonic_token/logo_url/sonic/17d88e82ee2f7243922c0f2d3de580ce.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,USDC,Aave V3 (Lending),$1.00,0.000001,$0.00,USDC,True,https://static.debank.com/image/coin/logo_url/usdc/e87790bfe0b3f2ea855dc29069b38818.png
Sonic_Farm,0x7ab7528984690d3d8066bac18f38133a0cfba053,SONIC,SHADOW,Shadow Exchange (Vesting),$21.51,0.246414,$5.30,Shadow,True,https://static.debank.com/image/sonic_token/logo_url/0x3333b97138d4b086720b5ae8a7844b1345a33333/72eb44fe5e33b375362d5256423b5293.png
